Autore;anno;Anno edizione;Antroponimi citati;Attributi toponimi generali;Collocazione archivistica;Cronologia del contenuto;Destinatario;Edizione;Ente;Giorno;Lingua;Luogo di emissione;Luogo edizione;Mese;Note;Oggetto;Qualifica rogatario;Rogatario;Titolo;Toponimi generali
D'Arienzo, L.;1351;1970;;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 37, Carta 121 [vecchia collocazione];;Pietro IV re d'Aragona;Doc. 368, p.187;Brancaleone Doria;15;Latino;Monteleone;Padova;4;;Lettera di Brancaleone Doria a Pietro IV, in cui «gli dice che ha mandato presso di lui il suo fedele medico mastro Giovanni, come procuratore, per informarlo delle proprie intenzioni, e lo prega di dargli piena fiducia».;;;CRD Pietro IV;Mons Leonis [Monteleone]
D'Arienzo, L.;1353;1970;;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 38, Carta 80 [vecchia collocazione];;Pietro IV re d'Aragona;Doc. 443, p. 227;(Mariano IV) giudice d'Arborea;03;Latino;Serravalle;Padova;11;Vedi anche:  PCLA 2-3, doc. 61 per una lettera di Mariano IV a Gilabert de Centelles, data a Serravalle lo stesso giorno 3 novembre 1353.;Il giudice di Arborea riferisce a Pietro IV, tra le altre cose, di essere stato accusato ingiustamente circa la «questione di Alghero e Monteleone».;;;CRD Pietro IV;Mons Leonis [Monteleone] 
"D'Arienzo, L.Meloni, G.";1370;"19701982";;Castello;A.C.A., Canc., C. R. D. Pietro IV, Cassa 32, Carta 699 [vecchia collocazione];;Consiglio di Pietro IV re d'Aragona;"Doc. 751, p. 377Vol. III, p. 88";Brancaleone Doria;29;Latino;Monteleone;"PadovaPadova";3;;"Brancaleone Doria si rivolge al consiglio di Pietro IV per una serie di questioni riguardanti la situazione sarda; in particolare riferisce che il giudice (Mariano IV) deve porre il suo campo tra Monteleone e Alghero per assediare i due castelli (cioè Monteleone e Alghero) oltre a quello di  Bonvehí.";;;"CRD Pietro IVGenova e Aragona";Mons Leonis [Monteleone]
D'Arienzo, L.;1386;1970;;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 33, Carta 790 [vecchia collocazione];;Pietro IV re d'Aragona;Doc. 822, p. 415;Gilbert de Campllonch;05;Latino;Alghero;Padova;4;;"Gilbert de Campllonch informa Pietro IV, tra le altre cose, che: un «sardo di Monteleone» ha raccontato che Eleonora d'Arborea ha imprigionato il proprio maggiordomo Francesco Squinto; che la stessa Eleonora ha spedito ordini a Monteleone per impedire a chiunque non avesse un anello da lei dato di entrare in quel castello; Gilbert de Campllonch riferisce inoltre di aver spedito una persona a Monteleone per informarsi bene della cosa.";;;CRD Pietro IV;Mons Leonis [Monteleone]
D'Arienzo, L.;1346;1970;;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 17, Carta 3128 [vecchia collocazione];;Mariano d'Arborea conte del Goceano;Doc. 250, p. 117;Pietro IV re d'Aragona;29;Latino;Poblet;Padova;8;Vedi anche: CRD Pietro IV, doc. 279.;"Pietro IV informa Mariano della sua intenzione di acquistare, tra gli altri beni dei Doria, Monteleone; Francesc Estaper e Francesc Foix sono i delegati all'operazione*.";;;CRD Pietro IV;Mons Leonis [Monteleone]
D'Arienzo, L.;1353;1970;;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 35, Carta 284 [vecchia collocazione];;Bernat de Cabrera;Doc. 411, p. 209;Roger de Rosanes;;Latino;;Padova;812;;Roger  de Rosanes riferisce a Bernat  de Cabrera che i Sassaresi sono disposti a concedergli 1.000 fiorini d'oro per l'acquisto di Monteleone.;;;CRD Pietro IV;Mons Leonis [Monteleone]
D'Arienzo, L.;1386;1970;;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 33, Carta 791 [vecchia collocazione];;Pietro IV re d'Aragona;Doc. 823, p. 415;Joan de Santacoloma governatore del Logudoro;05;Latino;Alghero;Padova;4;Vedi anche: CRD Pietro IV, doc. 822. ;"Joan de Santa Coloma riferisce a Pietro IV quanto già riferitogli da Gilbert de Campllonch*.Rispetto alla relazione dello stesso Gilbert de Campllonch al re, si specifica che Paolo Squinto, fratello di Francesco, era stato imprigionato da Eleonora e condotto a Monteleone.";;;CRD Pietro IV;Mons Leonis [Monteleone]
D'Arienzo, L.;;1970;Nicola Doria;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 34, Carta 9 [vecchia collocazione];;Re d'Aragona;App. 2, doc. 6, p. 441;Ferran Pardo veguer della villa di Alghero;10;Latino;Alghero;Padova;9;;Ferran Pardo riferisce, tra le altre cose, che Nicola Doria, uomo facoltoso perché ha avuto denaro ed argento dalla casa d'Arborea, possiede Monteleone.;;;CRD Pietro IV;Mons Leonis [Monteleone]
D'Arienzo, L.;1346;1970;;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 17, Carta 3129 [vecchia collocazione];;Giovanni d'Arborea;Doc. 251, p. 117;Pietro IV re d'Aragona;29;Latino;Poblet;Padova;8;Vedi anche: CRD Pietro IV, doc. 279.;"Pietro IV informa Giovanni della sua intenzione di acquistare, tra gli altri beni dei Doria, Monteleone; Francesc Estaper e Francesc Foix sono i delegati all'operazione*.";;;CRD Pietro IV;Mons Leonis [Monteleone]
D'Arienzo, L.;1346;1970;;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 17, Carta 3130 [vecchia collocazione];;Pietro visconte di Bas e giudice d'Arborea;Doc. 252, p. 117;Pietro IV re d'Aragona;29;Latino;Poblet;Padova;8;Vedi anche: CRD Pietro IV, doc. 279.;"Pietro IV informa il giudice d'Arborea della sua intenzione di acquistare, tra gli altri beni dei Doria, Monteleone; Francesc Estaper e Francesc Foix sono i delegati all'operazione*.";;;CRD Pietro IV;Mons Leonis [Monteleone]
D'Arienzo, L.;1354;1970;Matteo Doria;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 38, Carta 83 [vecchia collocazione];;Matteo Doria;Doc. 548, p. 281, nota 236;Pietro IV re d'Aragona;;Latino;;Padova;;;Capitoli di Alghero: Pietro IV conferma Monteleone a Matteo Doria.;;;CRD Pietro IV;Mons Leonis [Monteleone]
D'Arienzo, L.;1369;1970;;"";A.C.A., Canc., C. R. D. Pietro IV, Cassa 37, Carta 35 [vecchia collocazione];;Consiglio di Pietro IV re d'Aragona;Doc. 735, p. 371 ;Governatore del Logudoro, veguer, consiglieri e probiviri di Alghero;30;Latino;Alghero;Padova;3;;Governatore del Logudoro, vicario, consiglieri e probiviri di Alghero riferiscono, tra le altre cose, che il giudice deve mettere l'assedio a Monteleone e costruire una bastida (fortezza) nel monte di S. Giuliano per poter assediare quel luogo. Il toponimo è probabilmente da riferire alla località S. Giuliano presso Alghero.;;;CRD Pietro IV;"Mons Leonis [Monteleone]"
D'Arienzo, L.;1350;1970;Matteo Doria;;A.C.A., Canc., C. R. D. Pietro IV, Cassa 38, Carta 83 [vecchia collocazione];1350;Matteo Doria;Doc. 548, p. 281, nota 236;Pietro IV re d'Aragona;;Latino;;Padova;;;Pietro IV conferma Monteleone a Matteo Doria.;;;CRD Pietro IV;Mons Leonis [Monteleone]
D'Arienzo, L.;1355;1970;;;A.C.A., Canc., Reg. 1025, f. 125v;;;p. 282, nota 236;;01;;;Padova;6;Vedi anche: PCLA 1, doc. 82.;Elenco di crimini di Mariano d'Arborea, tra i quali quello di essersi impossessato di Monteleone.;;;CRD Pietro IV;
D'Arienzo, L.;1355;1970;;Castello;A.C.A., Canc., C. R. D. Pietro IV, Cassa 38, Carta 83 [vecchia collocazione];;Pietro IV re d'Aragona;Doc. 548, p. 282;;14;;Sassari;Padova;3;;Riferisce, tra le altre cose, che «Matteo Doria stava trattando con gli uomini di Monteleone perché gli devono togliere il possesso del castello, ha fatto prigionieri nove uomini sospettati e li ha puniti a morte».;;;CRD Pietro IV;Monteleone
D'Arienzo, L.;1353;1970;;Castello;A.C.A., Canc., C. R. D. Pietro IV, Cassa 30, Carta 564 [vecchia collocazione];;Pietro IV re d'Aragona;Doc. 448, p. 232;Mariano IV giudice d'Arborea;18;Latino;Oristano;Padova;12;Vedi anche: PCLA 2-3, vol. III, doc. 65.;Riferisce, tra le altre cose, che i sardi, senza farlo sapere al giudice, hanno invaso ed appiccato fuochi nel castello di Monteleone, dove il governatore aveva radunato molti fanti e cavalieri.;;;CRD Pietro IV;Mons Leonis [Monteleone]
